function,engine,n,reps,elapsed_ns_mean,tma_backend_bound,tma_backend_bound_aux,tma_bad_speculation,tma_base,tma_branch_mispredicts,tma_branch_resteers,tma_core_bound,tma_divider,tma_dram_bound,tma_dsb,tma_dsb_switches,tma_fetch_bandwidth,tma_fetch_latency,tma_few_uops_instructions,tma_fp_arith,tma_frontend_bound,tma_fused_instructions,tma_heavy_operations,tma_icache_misses,tma_info_core_coreipc,tma_info_inst_mix_instructions,tma_info_thread_slots,tma_info_thread_slots_utilization,tma_int_operations,tma_itlb_misses,tma_l1_bound,tma_l2_bound,tma_l3_bound,tma_lcp,tma_light_operations,tma_lsd,tma_machine_clears,tma_memory_bound,tma_memory_operations,tma_microcode_sequencer,tma_mite,tma_ms_switches,tma_non_fused_branches,tma_nop_instructions,tma_other_light_ops,tma_other_load_store,tma_other_ret,tma_ports_utilization,tma_resource_bound,tma_retiring,tma_store_bound,elapsed_ns_max,elapsed_ns_min,elapsed_ns_std
sum1d,py,1000000,5,17187304.8,18.3,50.1,3.0,11.8,3.0,3.0,3.0,0.1,3.0,3.0,3.0,8.4,12.8,3.0,0.0,21.2,5.8,2.4,3.0,2.84,3.0,3.0,2.0,0.0,3.0,2.8,3.9,3.3,3.0,46.3,3.0,1.6,6.5,18.2,0.5,4.3,3.0,2.4,0.1,19.8,8.8,11.8,33.9,50.1,48.7,2.7,17390666,16781577,210457.20660257753
sum1d,jit,1000000,5,341.0,29.4,54.3,3.0,12.2,3.0,3.0,3.0,0.1,3.0,3.0,3.0,12.7,19.4,3.0,0.0,32.1,2.9,1.8,3.0,1.37,3.0,4.0,2.0,0.0,3.0,2.6,4.0,3.7,3.0,21.1,3.0,1.0,11.0,9.8,0.6,8.6,3.0,1.7,0.1,6.5,10.0,12.2,34.0,54.3,22.9,2.7,1059,126,362.17343911446625
sum2d,py,1000,5,20889267.0,19.0,50.8,3.0,12.0,3.0,3.0,3.0,0.1,3.0,3.0,3.0,7.6,9.2,3.0,0.0,16.9,7.0,2.1,3.0,3.71,3.0,4.0,2.0,0.0,3.0,2.6,3.9,3.6,3.0,46.6,3.0,0.9,3.8,24.3,0.5,4.1,3.0,1.8,0.1,13.3,9.6,12.0,32.0,50.8,48.7,2.6,21063815,20688018,157687.8855638568
sum2d,jit,1000,5,381.6,31.3,53.1,3.0,12.0,3.0,3.0,3.0,0.1,3.0,3.0,3.0,13.0,18.9,3.0,0.0,31.9,3.0,1.8,3.0,1.49,3.0,3.0,2.0,0.0,3.0,2.7,4.0,3.8,3.0,22.1,3.0,1.4,13.6,9.7,0.6,9.3,3.0,1.5,0.2,7.8,9.5,12.0,33.8,53.1,23.9,2.4,1173,121,399.5915915031246
while_count,py,1000000,5,28688339.6,27.6,52.8,3.0,11.6,3.0,3.0,3.0,0.1,3.0,3.0,3.0,6.6,8.4,3.0,0.0,15.0,5.3,1.9,3.0,2.97,3.0,3.0,2.0,0.0,3.0,2.5,3.9,3.2,3.0,40.3,3.0,1.3,4.7,17.9,0.4,3.4,3.0,2.4,0.1,14.6,9.6,11.6,38.0,52.8,42.2,2.4,29263105,28442921,295508.7429214912
while_count,jit,1000000,5,371.8,27.1,54.2,3.0,11.5,3.0,3.0,3.0,0.1,3.0,3.0,3.0,13.0,16.2,3.0,0.0,29.2,2.9,1.7,3.0,1.59,3.0,3.0,2.0,0.0,3.0,2.8,4.1,4.1,3.0,22.7,3.0,1.0,10.9,9.9,0.6,8.9,3.0,1.7,0.2,8.0,10.1,11.5,33.8,54.2,24.4,2.6,1193,120,414.64365423819044
andor,py,1000,5,200.6,15.9,52.6,3.0,13.3,3.0,3.0,3.0,0.1,3.0,3.0,3.0,13.9,17.6,3.0,0.0,31.5,2.5,2.0,3.0,1.26,3.0,3.0,2.0,0.0,3.0,3.2,4.2,5.1,3.0,29.9,3.0,1.1,18.4,8.7,0.7,7.1,3.0,2.8,0.1,15.9,7.8,13.3,30.8,52.6,32.0,4.4,432,67,135.10381193733951
andor,jit,1000,5,339.0,31.8,54.0,3.0,11.3,3.0,3.0,3.0,0.1,3.0,3.0,3.0,13.6,19.9,3.0,0.0,33.5,2.9,1.8,3.0,1.38,3.0,4.0,2.0,0.0,3.0,2.6,4.0,3.7,3.0,20.9,3.0,1.0,14.7,9.6,0.6,9.2,3.0,1.5,0.2,6.7,10.2,11.3,33.0,54.0,22.7,2.3,1098,122,380.89998687319485
copy_arrays,py,1000000,5,68977632.6,8.8,58.2,3.0,11.1,3.0,3.0,3.0,0.1,3.0,3.0,3.0,16.4,9.0,3.0,0.0,25.4,7.2,2.8,3.0,3.57,3.0,3.0,2.0,0.0,3.0,2.5,3.8,3.7,3.0,56.2,3.0,0.7,4.2,27.1,0.4,2.4,3.0,5.6,0.1,16.1,10.0,11.1,35.5,58.2,59.0,1.9,69606056,68783335,315443.207015526
copy_arrays,jit,1000000,5,263015.0,24.0,61.4,3.0,11.7,3.0,3.0,3.0,0.1,3.0,3.0,3.0,14.1,17.1,3.0,0.0,31.2,2.9,2.1,3.0,1.7,3.0,3.0,2.0,0.0,3.0,2.5,4.3,3.9,3.0,23.2,3.0,1.4,14.2,9.7,0.6,9.4,3.0,1.9,0.2,8.5,8.4,11.7,32.8,61.4,25.3,0.7,802466,124023,269757.042895269
copy_arrays2d,py,1000,5,94897840.8,8.5,62.4,3.0,11.0,3.0,3.0,3.0,0.1,3.0,3.0,3.0,16.3,8.9,3.0,0.0,25.2,8.1,2.8,3.0,3.91,3.0,4.0,2.0,0.0,3.0,2.3,3.7,3.3,3.0,57.1,3.0,0.4,2.4,28.1,0.4,2.3,3.0,5.2,0.2,15.6,10.1,11.0,36.6,62.4,60.0,1.2,95455105,94618272,289041.8381123397
copy_arrays2d,jit,1000,5,261725.2,23.5,52.0,3.0,11.6,3.0,3.0,3.0,0.1,3.0,3.0,3.0,13.6,18.8,3.0,0.0,32.4,3.0,1.7,3.0,1.54,3.0,3.0,2.0,0.0,3.0,2.5,3.9,3.7,3.0,22.9,3.0,1.0,12.4,10.1,0.6,9.1,3.0,2.0,0.2,7.6,10.2,11.6,32.6,52.0,24.6,3.4,805453,123952,271868.46135173534
blackscholes_cnd,py,10000,5,538.6,15.0,49.5,3.0,13.6,3.0,3.0,3.0,0.1,3.0,3.0,3.0,12.6,16.8,3.0,0.0,29.4,2.5,1.7,3.0,1.1,3.0,3.0,2.0,0.0,3.0,2.9,4.0,4.2,3.0,27.3,3.0,1.1,22.6,9.2,0.6,7.3,3.0,3.2,0.1,12.2,9.0,13.6,29.5,49.5,29.0,4.8,1233,196,371.2253224121436
blackscholes_cnd,jit,10000,5,348.0,29.1,56.0,3.0,11.5,3.0,3.0,3.0,0.1,3.0,3.0,3.0,12.7,20.0,3.0,0.0,32.6,3.0,1.8,3.0,1.33,3.0,3.0,2.0,0.0,3.0,2.7,4.1,3.9,3.0,21.8,3.0,1.0,15.7,9.7,0.6,8.7,3.0,1.5,0.2,7.5,9.9,11.5,32.2,56.0,23.7,3.0,1114,131,383.66912828633997
